color,freq,ratio,vid
#02367c,348,0.0283203125,z1pvVcayMBA
#b1d7e8,262,0.021321614583333332,z1pvVcayMBA
#73788b,179,0.014567057291666666,z1pvVcayMBA
#2aadd0,152,0.012369791666666666,z1pvVcayMBA
#9ab0d1,112,0.009114583333333334,z1pvVcayMBA
#0145e0,110,0.008951822916666666,z1pvVcayMBA
#585e69,88,0.007161458333333333,z1pvVcayMBA
#9a9b9c,53,0.004313151041666667,z1pvVcayMBA
#39425d,49,0.003987630208333333,z1pvVcayMBA
#e1eaee,19,0.0015462239583333333,z1pvVcayMBA
#9091ae,17,0.0013834635416666667,z1pvVcayMBA
#2c343b,6,0.00048828125,z1pvVcayMBA
#5e2e36,4,0.0003255208333333333,z1pvVcayMBA
#9a696f,4,0.0003255208333333333,z1pvVcayMBA
#bfbec9,2,0.00016276041666666666,z1pvVcayMBA
#575783,2,0.00016276041666666666,z1pvVcayMBA
#d5896e,1,8.138020833333333e-05,z1pvVcayMBA
#809baa,1,8.138020833333333e-05,z1pvVcayMBA
#904b34,1,8.138020833333333e-05,z1pvVcayMBA
#503a59,1,8.138020833333333e-05,z1pvVcayMBA
#8276a0,1,8.138020833333333e-05,z1pvVcayMBA
#738ac4,1,8.138020833333333e-05,z1pvVcayMBA
#65545a,1,8.138020833333333e-05,z1pvVcayMBA
#114020,5647,0.4595540364583333,qYvIP2D_XO8
#000000,3313,0.2696126302083333,qYvIP2D_XO8
#2f6a37,1112,0.09049479166666667,qYvIP2D_XO8
#b7d1ba,517,0.042073567708333336,qYvIP2D_XO8
#88a659,478,0.038899739583333336,qYvIP2D_XO8
#5a725f,335,0.027262369791666668,qYvIP2D_XO8
#598435,219,0.017822265625,qYvIP2D_XO8
#0b1c12,166,0.013509114583333334,qYvIP2D_XO8
#588b65,129,0.010498046875,qYvIP2D_XO8
#a3a986,111,0.009033203125,qYvIP2D_XO8
#575c5c,55,0.004475911458333333,qYvIP2D_XO8
#43503d,55,0.004475911458333333,qYvIP2D_XO8
#576032,38,0.0030924479166666665,qYvIP2D_XO8
#a0aaa9,26,0.0021158854166666665,qYvIP2D_XO8
#32342d,24,0.001953125,qYvIP2D_XO8
#7a8576,17,0.0013834635416666667,qYvIP2D_XO8
#757575,13,0.0010579427083333333,qYvIP2D_XO8
#a7ca8b,10,0.0008138020833333334,qYvIP2D_XO8
#ecf3e3,8,0.0006510416666666666,qYvIP2D_XO8
#75a97f,5,0.0004069010416666667,qYvIP2D_XO8
#86874a,3,0.000244140625,qYvIP2D_XO8
#35343c,3,0.000244140625,qYvIP2D_XO8
#927951,2,0.00016276041666666666,qYvIP2D_XO8
#b09d73,1,8.138020833333333e-05,qYvIP2D_XO8
#73623f,1,8.138020833333333e-05,qYvIP2D_XO8
#404040,4426,0.3601888020833333,5ljYLf5R5Ss
#000000,3072,0.25,5ljYLf5R5Ss
#ece3da,2214,0.18017578125,5ljYLf5R5Ss
#c1bfc2,837,0.068115234375,5ljYLf5R5Ss
#878c95,332,0.027018229166666668,5ljYLf5R5Ss
#2c454c,282,0.02294921875,5ljYLf5R5Ss
#366680,263,0.021402994791666668,5ljYLf5R5Ss
#6b6667,231,0.018798828125,5ljYLf5R5Ss
#c7aea5,167,0.013590494791666666,5ljYLf5R5Ss
#3d8ba2,140,0.011393229166666666,5ljYLf5R5Ss
#2a3b55,83,0.006754557291666667,5ljYLf5R5Ss
#968283,82,0.006673177083333333,5ljYLf5R5Ss
#515b74,56,0.004557291666666667,5ljYLf5R5Ss
#3eabb6,30,0.00244140625,5ljYLf5R5Ss
#09252e,22,0.0017903645833333333,5ljYLf5R5Ss
#7c9da7,12,0.0009765625,5ljYLf5R5Ss
#596a6d,11,0.0008951822916666666,5ljYLf5R5Ss
#83646b,9,0.000732421875,5ljYLf5R5Ss
#3782b6,6,0.00048828125,5ljYLf5R5Ss
#c9dcdf,5,0.0004069010416666667,5ljYLf5R5Ss
